Q1A,Q1E,Q2A,Q2E,Q3A,Q3E,Q4A,Q4E,Q5A,Q5E,Q6A,Q6E,Q7A,Q7E,Q8A,Q8E,Q9A,Q9E,Q10A,Q10E,Q11A,Q11E,Q12A,Q12E,Q13A,Q13E,Q14A,Q14E,Q15A,Q15E,Q16A,Q16E,Q17A,Q17E,Q18A,Q18E,Q19A,Q19E,Q20A,Q20E,Q21A,Q21E,Q22A,Q22E,Q23A,Q23E,Q24A,Q24E,Q25A,Q25E,Q26A,Q26E,Q27A,Q27E,Q28A,Q28E,Q29A,Q29E,Q30A,Q30E,Q31A,Q31E,Q32A,Q32E,Q33A,Q33E,Q34A,Q34E,Q35A,Q35E,Q36A,Q36E,Q37A,Q37E,Q38A,Q38E,Q39A,Q39E,Q40A,Q40E,Q41A,Q41E,Q42A,Q42E,country,introelapse,testelapse,surveyelapse,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,education,urban,gender,age,religion,married,familysize,major,major_category
3,2316,1,2450,2,3143,2,6494,2,3251,1,3178,1,4442,1,3403,2,6034,2,2965,2,3132,1,2363,2,1970,3,7334,1,2251,2,2350,3,2121,3,2760,1,5300,1,3051,2,2379,2,3416,2,5698,2,2339,1,3552,3,3285,3,2134,1,2128,1,2471,1,3330,2,4242,2,3998,1,2599,2,4690,3,6314,1,6848,2,8772,1,1913,3,2968,3,3953,1,2045,3,4649,US,2,155,146,3,5,4,5,6,5,4,3,4,4,2,2,2,17,1,1,1,Others,Others
3,2789,1,4500,2,3900,2,3568,1,1682,3,1633,1,2105,3,2940,4,4487,1,3186,3,6107,3,3356,3,1475,1,5121,1,1515,1,2719,3,3682,3,2804,1,3117,3,2302,1,2267,3,6795,1,2250,2,8706,1,2833,4,3356,4,1933,3,2235,4,4170,3,3655,1,2683,3,3396,4,2300,1,2804,3,5071,3,2293,1,3448,1,2832,3,1967,4,4462,1,2457,3,7799,US,1,148,108,1,7,5,7,1,6,5,4,1,3,2,2,2,19,7,1,2,criminal justice sociology,Social Sciences
3,2507,1,1334,2,1864,1,2950,2,1700,3,6535,1,1301,2,1197,2,6908,2,3795,2,1861,1,2802,2,1373,2,2051,1,1203,3,2051,2,2250,2,1917,2,7516,1,1534,2,3283,1,1424,1,1084,2,1967,1,1651,2,1636,2,1598,1,1167,1,2184,1,2076,3,2083,2,2618,1,1633,2,1524,2,3632,1,1067,2,1568,1,3799,2,1416,2,2624,1,1449,1,2586,GB,1,99,151,1,4,4,0,7,5,4,4,3,1,3,3,2,18,12,1,5,Hairdressing ,Computer Science
3,6729,2,4793,2,3328,1,2199,3,2513,1,2220,1,2489,2,2570,1,5790,2,4348,1,5951,1,1973,1,2679,4,3425,1,1931,3,4472,1,1450,2,2006,1,3613,1,1166,1,3214,1,4843,1,1216,3,4086,2,5170,1,1703,2,2482,1,1741,1,2681,1,2779,3,2302,2,3895,1,1313,1,1426,4,3803,1,2430,1,2035,2,2754,3,2830,1,2357,1,3662,4,3372,US,73,128,89,2,7,7,1,6,5,4,7,6,2,2,1,1,19,2,1,1,Computer Science,Computer Science
2,4144,2,4442,2,7254,1,1930,4,4376,3,4109,1,2479,1,2246,3,25617,2,2314,2,3644,1,5109,3,3944,1,7105,1,7719,2,8355,2,2629,4,3528,2,6805,4,4625,3,6573,1,4477,1,6390,3,5692,1,20814,3,4208,3,4658,1,3002,1,7007,2,8884,2,7253,1,18536,1,13061,2,4175,4,7653,1,3426,3,8053,2,4856,3,3577,1,4859,1,2462,4,3320,US,3,280,234,2,2,5,4,6,7,4,6,3,6,2,3,2,19,4,1,2,Business,Business
3,9774,1,2011,2,2618,1,2629,2,3659,3,5514,1,3013,2,2063,2,7435,2,5903,4,2846,1,2333,3,1812,2,4005,1,2373,1,4688,2,3792,4,4262,2,8219,1,3021,1,1498,3,4388,1,1916,1,2584,1,12572,3,3308,2,2888,1,3098,2,4788,1,13792,1,4604,1,5054,1,2229,2,2240,1,6221,1,1207,1,3945,1,3623,2,5085,2,8992,1,1306,2,4402,US,2,182,123,7,1,3,6,6,1,7,6,1,1,1,1,2,15,4,1,5,Others,Others
3,50135,1,2033,2,3882,1,1413,3,3935,3,1353,1,4500,3,1886,2,3010,3,2272,3,4751,1,1500,2,1666,3,3231,2,600,3,2969,2,1716,3,1807,1,2480,1,1355,2,1917,3,1618,1,1385,4,517,1,27221,2,1983,4,1984,1,1383,3,2000,1,16630,3,4100,4,2084,1,1516,2,682,3,1615,1,1535,2,520,2,14686,4,3162,2,2685,1,1864,3,3464,US,19,236,158,1,6,5,7,2,6,2,7,2,7,1,2,1,15,6,1,1,Others,Others
3,2129,2,1960,3,3423,4,2666,3,1843,3,1836,4,1622,4,1665,2,4496,4,2324,3,2098,3,2160,4,1502,2,3207,2,3199,3,1875,4,3157,3,2738,2,3148,4,1461,4,2226,4,3409,2,11054,3,2447,3,4063,4,3915,3,1405,3,2019,4,2103,3,3068,3,2277,3,1919,3,2292,4,2265,3,2800,4,1617,4,2560,4,1405,4,1552,3,10515,3,1691,3,2064,CA,4,118,434,3,3,5,5,5,5,5,3,1,1,2,3,2,22,1,1,1,Others,Others
3,6074,2,5943,2,4097,2,4319,1,3046,4,4107,1,4693,2,4269,3,5875,2,3340,3,3269,2,14821,3,2613,4,18354,1,4803,2,4985,2,3443,2,8255,1,4327,3,4500,2,9082,2,3462,1,3774,2,4158,1,5086,3,4067,2,3260,3,2805,4,4025,2,5398,3,6400,2,7548,2,3108,3,2401,3,8693,3,2038,2,4521,1,3200,3,10498,3,6852,1,2200,4,5207,EC,1702,223,230,1,5,5,6,3,6,5,3,3,5,2,3,2,19,4,1,3,psychology,Social Sciences
2,3617,3,2759,2,8769,1,6400,3,2633,2,2121,2,4113,2,9248,3,4337,2,2671,2,2632,2,2145,3,1881,2,9248,2,3120,3,3560,2,5738,2,2816,3,5152,1,4065,2,2465,2,2696,2,6161,2,3247,2,2109,4,1405,2,4339,3,2041,2,3791,2,5441,2,5074,1,14672,2,2247,2,1920,1,3937,2,2168,3,6393,2,40837,2,2257,1,4209,1,4384,3,5945,AU,717,254,162,2,4,3,5,5,6,5,7,3,4,2,1,1,20,7,1,3,Civil Engineering,Engineering
4,2453,1,7105,4,1923,2,7230,4,2117,3,4675,3,4050,4,2600,2,14711,4,1745,4,2363,3,4063,4,1118,3,5810,2,3200,4,2582,4,5234,3,4926,2,7651,4,2557,4,2428,4,2200,2,4192,4,4664,4,10229,4,1272,4,2147,4,2378,4,3241,4,25139,4,7218,2,35540,2,3256,4,4124,2,5979,2,3387,4,2601,4,1571,4,2843,3,7836,4,1894,4,2309,US,7,229,134,1,6,5,7,7,7,1,6,1,2,1,2,2,16,1,1,2,Others,Others
4,4820,4,1109,4,1833,4,1518,4,899,4,1183,4,1699,3,2049,4,1984,3,2219,4,984,4,2248,4,1031,4,3974,4,1263,3,1552,4,2309,4,1007,3,4756,4,1300,3,1636,4,966,4,1757,4,2210,4,6485,4,1081,4,1228,4,1257,4,1365,4,3068,4,1226,4,1510,4,1465,4,867,4,2281,4,938,4,1736,3,1679,4,1316,4,1632,4,1099,4,1808,US,325,323,162,4,1,7,7,7,2,6,5,1,1,1,1,2,15,7,1,3,Acting,Arts
2,2984,2,3838,1,3116,2,5029,1,2566,2,7554,4,2033,1,4456,3,9882,2,18749,2,3267,4,3591,3,2744,2,7097,3,6949,3,5670,2,6300,1,4152,4,5001,4,2224,1,3083,3,2634,1,2292,4,6115,3,7914,2,3354,4,2066,3,2599,2,7213,1,6401,1,2535,1,11139,4,5763,1,1682,2,12112,2,2484,1,2466,1,2133,3,2167,2,5717,2,3250,1,5672,US,1,209,365,7,3,1,7,7,1,5,7,3,1,2,3,2,16,7,1,1,Others,Others
4,2431,3,9289,4,3330,4,3916,4,1846,3,3057,4,4482,3,4043,4,3652,4,5455,4,2188,4,2382,4,1387,1,5587,4,2822,4,1679,4,2041,4,1906,4,12891,4,3096,4,2481,3,3624,3,2334,4,2500,4,7431,4,1835,4,1759,4,1895,4,2059,4,4044,4,2266,4,4385,4,2139,4,1445,4,5156,4,1621,4,3164,4,1582,4,2158,4,4805,4,2177,4,3506,US,17,142,168,1,6,6,6,5,7,1,7,4,7,2,3,2,19,1,1,2,Biology,Sciences
1,2236,1,1437,2,2570,1,2188,1,3372,1,1975,1,1579,1,1736,1,11058,2,3389,1,2105,1,2218,1,1803,1,3058,2,4186,3,2184,1,3906,1,2010,1,3128,1,2375,2,1957,1,1567,1,1334,3,2903,1,2473,1,1397,1,2119,1,4983,1,3193,1,2454,1,6983,1,3281,1,2984,1,1676,1,5516,1,1483,2,3556,2,2299,2,2794,1,2537,1,1524,1,2944,US,42,121,171,3,3,5,1,5,5,5,5,6,5,2,3,2,16,1,1,3,Others,Others
2,1531,2,2909,3,3694,1,5106,3,2451,3,1547,1,1828,3,8677,2,4926,2,1816,3,1693,4,2899,3,1332,2,3081,1,2041,2,3727,3,3095,4,4776,1,3259,4,4828,2,3389,3,3977,2,1592,4,4306,3,4582,3,1326,3,1874,3,6742,2,2252,2,4681,2,3383,1,6709,3,7193,3,1983,2,6554,2,1910,3,3416,3,1501,2,4166,3,2598,1,2749,2,4696,US,14,147,122,5,6,4,6,6,6,5,3,2,4,2,2,1,19,8,1,2,Others,Others
2,3671,2,5743,2,3154,1,5296,4,2418,2,4432,1,6342,1,2720,2,5144,2,2418,2,2240,2,3173,4,1630,2,5791,1,1963,2,4336,4,3174,1,4723,3,5930,2,2898,4,2181,1,4184,2,8400,3,3887,1,5405,4,2712,1,2246,1,2234,3,4778,1,6791,1,4564,1,6916,1,2306,4,8706,1,4911,1,2366,2,3348,4,3185,1,2041,3,4007,1,2361,4,4011,US,3,174,109,5,5,5,5,7,7,7,5,5,6,2,3,1,18,2,1,3,Others,Others
2,2555,2,3126,1,1875,1,1796,2,2012,2,2803,1,1321,3,2667,1,4626,1,2230,3,6049,3,6430,2,10085,2,5100,1,3119,1,1707,1,1877,2,3186,1,2551,1,2268,1,1312,2,2431,2,2692,1,2800,1,2194,1,1578,2,1986,1,1635,2,3550,1,3787,1,1510,3,5505,1,1925,1,2062,1,4879,1,2575,1,3716,1,1904,3,3687,2,7280,1,1993,2,4139,US,19,139,147,6,1,2,0,5,6,7,6,1,1,3,3,2,42,6,1,4,teaching,Humanities
2,4705,1,2187,2,3007,1,5837,1,2641,3,2316,2,3695,2,2563,3,5781,1,2866,4,3514,1,4959,2,12447,3,7687,1,5562,2,3680,1,3883,2,4000,2,5750,1,2500,1,1797,2,4016,1,1421,2,3938,2,6753,3,2780,4,11485,1,1037,2,3906,1,4977,2,3211,4,4053,1,3805,2,1765,3,5889,1,1462,1,3389,1,2631,3,1513,3,7305,2,3007,3,686,CA,6,208,129,5,7,5,4,6,2,5,5,2,1,2,1,2,15,1,1,2,Others,Others
1,2461,1,3712,2,3302,1,1544,1,2044,1,2180,1,1997,2,2587,4,4410,1,3663,3,4583,4,2970,2,1869,2,4502,1,7593,3,3500,3,3512,2,18409,1,5715,1,3475,1,3801,4,11502,1,1498,2,2313,1,6849,1,2003,3,8933,2,2274,2,2558,2,6515,2,3074,3,6007,4,2040,3,2484,3,3451,4,1926,1,6180,2,2914,4,11855,1,2517,1,1621,4,3741,FI,10,180,112,5,6,6,2,6,6,3,4,2,4,2,3,1,17,1,1,2,Others,Others
1,2673,3,3719,1,2771,1,2532,2,2501,1,4751,2,4833,2,5167,3,4531,1,3080,3,6263,3,4250,2,2199,1,5506,1,4435,3,11239,1,3014,2,2494,1,6335,2,4087,2,3917,2,2961,2,3090,2,4576,1,7785,3,7150,2,3369,1,4916,2,3577,1,6581,1,2879,4,5250,1,2395,2,2898,1,3568,2,1554,2,6100,3,3179,2,2587,2,4298,1,1971,3,4721,ID,15,179,234,5,2,6,5,7,7,5,2,1,3,2,3,2,17,1,1,4,Hospitality,Computer Science
4,2600,1,3400,1,3504,3,2456,2,3992,4,2055,3,2007,2,7256,4,2529,4,1609,4,1584,4,2304,3,2183,2,2553,3,4550,2,2625,4,2920,2,3647,1,2048,4,2400,4,2353,3,2024,2,1816,4,3103,4,4793,4,15864,3,2935,4,2057,3,2991,2,5928,2,3143,2,1834,2,1872,3,1808,1,8511,3,1799,4,1528,4,1632,3,1672,2,12361,3,2672,4,3312,CA,137,145,114,5,5,2,6,7,5,7,3,2,7,3,3,2,21,4,1,3,History,Humanities
1,3368,1,4747,2,7270,2,5078,2,4256,1,2953,1,4407,4,3025,4,7936,2,16803,2,6136,3,4240,2,3152,1,5618,1,2698,1,3576,4,2904,1,3139,2,62406,1,3646,3,3560,3,3904,3,23372,2,5000,3,8737,2,4792,2,3834,1,2571,3,3656,2,6815,2,4447,2,5405,4,14184,2,3055,1,9400,1,3679,3,5780,2,4030,2,2591,3,4696,1,3567,3,5408,FI,254,291,482,2,5,6,6,5,7,5,5,4,6,2,1,1,23,2,1,2,Statistics,Sciences
2,2844,2,3449,3,2585,3,3020,2,4595,2,2374,2,2532,3,2080,3,4819,3,2123,4,1988,2,2885,4,3169,3,2887,2,2382,3,2216,2,2801,2,1708,1,4038,3,2984,2,2789,2,1983,2,2424,3,2433,3,7594,3,1514,4,2113,2,2154,2,2491,1,2964,2,1838,3,3602,3,6829,2,1933,2,3178,1,2368,2,1897,3,1827,3,2155,2,2348,2,522941,3,4079,AE,2,642,125,7,2,2,4,5,5,6,4,3,1,2,3,2,17,10,1,2,Others,Others
2,3382,1,2803,1,2968,1,2651,2,3188,2,2333,1,2718,1,2144,1,5890,1,2639,3,4336,1,3050,1,1448,2,4722,1,4003,2,6723,1,1753,1,2050,1,3867,1,2570,1,2482,1,1887,1,3873,1,3135,2,6103,2,5591,2,1854,1,1791,1,2243,1,4731,1,2546,2,6677,1,2216,1,1798,2,3270,1,1368,1,4069,1,1803,2,2288,1,2753,1,2275,2,4158,NONE,97,148,160,5,6,6,2,7,4,3,5,5,2,2,3,1,26,7,1,3,Others,Others
1,13606,1,5281,1,5018,1,10548,1,3680,2,5846,1,18903,1,5412,2,10566,1,4042,1,5025,2,7181,1,2850,1,8813,1,4489,1,4807,1,5099,1,5144,1,10332,1,4805,1,8926,1,7742,1,33240,2,11790,1,6569,1,3249,1,5813,1,3232,2,16099,1,7800,1,4916,1,5319,2,3706,1,14799,1,8539,2,2857,1,6018,1,7310,1,3268,1,6898,1,3457,1,5772,ES,17,320,260,7,5,7,1,7,7,7,7,7,1,3,3,2,43,4,1,3,Biologyst,Sciences
3,2547,1,1495,3,1882,1,2832,4,1552,3,1723,1,16582,4,12715,2,8301,3,4682,4,3571,3,1995,3,774,2,10700,1,1468,3,61847,3,1435,4,3135,1,1867,2,3587,3,1415,4,2906,1,1434,4,1604,1,8792,4,1424,3,704,2,4295,3,52529,2,2138,3,11001,2,2639,3,5496,2,5065,3,2468,2,7300,3,2800,4,1284,2,1804,2,18926,1,2116,4,2199,AU,176092,366,187,4,3,4,7,6,5,5,3,2,2,1,2,2,16,1,1,2,Others,Others
2,1802,2,3394,2,3975,2,1975,2,2020,2,1081,2,1485,2,1165,2,2241,1,1513,2,3098,2,1943,2,1024,1,2662,1,1784,2,1513,4,2696,2,3751,2,3107,2,1576,2,1230,2,2520,1,1759,1,2527,2,2228,1,1328,3,1437,2,2013,3,6156,1,2140,2,2489,3,2437,2,1503,4,1500,2,5473,1,1323,1,1655,2,1481,2,1870,1,2503,2,2662,4,902,US,2,97,123,2,4,3,6,2,6,4,5,1,1,1,3,2,17,2,1,2,Others,Others
3,2423,2,2601,2,11143,1,1877,3,1980,3,2179,1,1795,2,1906,1,3651,3,3420,3,1910,2,2704,2,2332,3,6090,1,2806,2,2488,3,2067,3,2278,3,15923,1,1948,2,3298,2,2259,1,5210,3,1953,2,3803,3,2513,3,1786,1,2493,2,4681,3,4146,3,3833,4,5095,1,1340,2,4198,2,8785,1,2047,3,2192,3,1301,2,2108,1,4278,1,1967,3,1785,US,1223,151,88,5,7,2,5,5,6,5,6,1,1,2,2,1,16,1,1,2,Others,Others
3,4094,1,3321,1,3056,1,45077,3,3253,1,2361,1,3995,2,3106,1,10314,2,2280,2,4319,1,3609,2,3520,3,4049,1,2282,2,7040,1,2560,1,3264,1,4175,1,3466,2,9238,2,5039,1,1866,2,6141,1,5069,2,4159,2,13379,1,1525,1,3541,1,6894,4,2974,4,10227,1,1497,1,7194,3,7680,1,1423,1,5202,2,2915,3,3113,2,3800,1,45063,1,4511,US,3,278,113,1,4,4,3,5,6,1,3,7,1,1,2,2,13,2,1,1,biology,Sciences
3,5401,1,1766,3,4603,2,3404,3,3502,3,2716,1,2207,3,1849,2,8473,3,3867,3,1885,2,3445,4,1382,3,3083,1,2602,2,2703,4,2164,3,2769,2,10504,1,2434,3,1916,2,5237,1,1382,3,2202,1,2435,3,2751,4,3492,2,2384,4,2051,2,7036,3,6383,2,2652,3,6710,4,2599,2,5469,1,3653,3,2305,2,2718,3,11957,3,3611,1,1683,3,3683,US,5,156,138,1,5,7,6,5,7,7,1,6,1,4,2,2,35,1,2,2,Education ,Social Sciences
1,2690,2,19731,1,3205,1,6937,1,2191,1,4969,1,3418,2,14984,2,13678,1,2745,2,3853,1,3718,2,2881,1,9358,1,2899,2,3879,1,2283,2,3312,3,7644,1,3592,1,1963,1,1852,1,1551,1,5713,2,4169,3,2646,2,2778,2,2347,2,3298,2,3969,1,2268,2,2906,2,3196,2,5222,2,776559,2,1807,1,10819,1,4328,2,3156,2,2683,2,1531,1,2897,ID,2,966,168,6,5,3,5,6,5,5,4,4,4,4,3,2,25,12,1,2,psychology,Social Sciences
4,3100,1,3252,4,4162,3,4166,3,2683,4,3127,2,4919,4,2008,4,5327,3,1673,3,2188,4,6636,4,2066,1,900,1,1905,3,2184,3,1794,3,7601,2,14016,3,2109,4,1850,3,2166,4,4202,3,2200,2,7938,4,2011,3,3094,3,2062,3,3425,1,7086,4,1233,4,4170,4,1568,4,1983,3,3442,3,2759,2,5278,4,1483,3,4132,4,2355,2,3738,2,959,NI,2,165,267,3,6,4,7,4,4,6,5,2,4,2,3,2,16,4,1,2,business administration ,Business
4,2206,1,1494,4,2853,2,3139,3,2245,4,3022,1,4915,4,1302,3,4005,1,5267,3,4055,4,3413,4,1307,1,3079,2,3820,2,3719,3,1654,2,8606,1,3690,3,2099,3,4203,2,2403,1,4477,3,2217,2,11040,3,2091,3,4860,3,2626,4,5347,2,9626,2,2630,4,6768,3,2937,3,4433,3,3217,3,1254,2,2963,2,5028,1,2977,4,2004,1,3848,4,4736,NI,2,165,168,5,4,4,6,4,4,6,5,2,5,2,3,2,16,4,1,2,business administration ,Business
